energy	full_index	sector	variable	basis_element	component_index	conventional_bv_ghost_number	antifield_number	local_tangent_degree	compact_degree	tensor_type	primary_weight	polynomial_level	classification	coordinate_brst_rule	tangent_differential	q_gf_image_nnz	canonical_shift_nnz	elimination	equality_certificate
2	0	minimal	diffeomorphism ghost c_mu	c_mu_0[P3^3]	0	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	2	0	retained by p_gf	exact
2	1	minimal	diffeomorphism ghost c_mu	c_mu_0[P2*P3^2]	1	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	2	minimal	diffeomorphism ghost c_mu	c_mu_0[P2^2*P3]	2	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	3	minimal	diffeomorphism ghost c_mu	c_mu_0[P2^3]	3	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	2	0	retained by p_gf	exact
2	4	minimal	diffeomorphism ghost c_mu	c_mu_0[P1*P3^2]	4	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	5	minimal	diffeomorphism ghost c_mu	c_mu_0[P1*P2*P3]	5	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	6	minimal	diffeomorphism ghost c_mu	c_mu_0[P1*P2^2]	6	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	7	minimal	diffeomorphism ghost c_mu	c_mu_0[P1^2*P3]	7	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	8	minimal	diffeomorphism ghost c_mu	c_mu_0[P1^2*P2]	8	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	3	0	retained by p_gf	exact
2	9	minimal	diffeomorphism ghost c_mu	c_mu_0[P1^3]	9	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	2	0	retained by p_gf	exact
2	10	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P3^2]	10	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	6	0	retained by p_gf	exact
2	11	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P2*P3]	11	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	7	0	retained by p_gf	exact
2	12	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P2^2]	12	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	6	0	retained by p_gf	exact
2	13	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P1*P3]	13	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	7	0	retained by p_gf	exact
2	14	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P1*P2]	14	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	7	0	retained by p_gf	exact
2	15	minimal	diffeomorphism ghost c_mu	c_mu_0[P0*P1^2]	15	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	6	0	retained by p_gf	exact
2	16	minimal	diffeomorphism ghost c_mu	c_mu_0[P0^2*P3]	16	1	0	-1	2	(1/2,1/2) tensor Sym^3(1/2,1/2)	-1	3	proven minimal raw chain	minimal master-action rule	K_0 c	6	0	retained by p_gf	exact
