energy	raw_row	raw_index	raw_basis_element	bv_variable	field_redefinition	conventional_bv_ghost_number	antifield_number	local_tangent_degree	compact_degree	primary_weight	polynomial_level	so4_content	differential_image	differential_target	image_nnz	equality_certificate
2	G_n	0	c_mu_0[P3^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	1	c_mu_0[P2*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	2	c_mu_0[P2^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	3	c_mu_0[P2^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	4	c_mu_0[P1*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	5	c_mu_0[P1*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	6	c_mu_0[P1*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	7	c_mu_0[P1^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	8	c_mu_0[P1^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	9	c_mu_0[P1^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	10	c_mu_0[P0*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	11	c_mu_0[P0*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	12	c_mu_0[P0*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	13	c_mu_0[P0*P1*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	14	c_mu_0[P0*P1*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	15	c_mu_0[P0*P1^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	16	c_mu_0[P0^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	17	c_mu_0[P0^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	18	c_mu_0[P0^2*P1]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	19	c_mu_0[P0^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	20	c_mu_1[P3^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	21	c_mu_1[P2*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	22	c_mu_1[P2^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	23	c_mu_1[P2^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	24	c_mu_1[P1*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
